cr_id,filename,page_num,page_classification,dropbox_path,doccloud_url
1073229,CPD 0050695.pdf,3,ARREST Report,/Green v. CPD FOIA Files/Green 12.30.19 Production/Green 2019.12.30 Production,https://beta.documentcloud.org/documents/20031371-cpd-0050695pdf
1073229,CPD 0050695.pdf,4,ARREST Report,/Green v. CPD FOIA Files/Green 12.30.19 Production/Green 2019.12.30 Production,https://beta.documentcloud.org/documents/20031371-cpd-0050695pdf
1073229,CPD 0050695.pdf,5,ARREST Report,/Green v. CPD FOIA Files/Green 12.30.19 Production/Green 2019.12.30 Production,https://beta.documentcloud.org/documents/20031371-cpd-0050695pdf
1073231,CPD 0050714.pdf,3,ARREST Report,/Green v. CPD FOIA Files/Green 12.30.19 Production/Green 2019.12.30 Production,https://beta.documentcloud.org/documents/20042481-cpd-0050714pdf
1073231,CPD 0050714.pdf,4,ARREST Report,/Green v. CPD FOIA Files/Green 12.30.19 Production/Green 2019.12.30 Production,https://beta.documentcloud.org/documents/20042481-cpd-0050714pdf
1073231,CPD 0050714.pdf,5,ARREST Report,/Green v. CPD FOIA Files/Green 12.30.19 Production/Green 2019.12.30 Production,https://beta.documentcloud.org/documents/20042481-cpd-0050714pdf
1073231,CPD 0050714.pdf,6,ARREST Report,/Green v. CPD FOIA Files/Green 12.30.19 Production/Green 2019.12.30 Production,https://beta.documentcloud.org/documents/20042481-cpd-0050714pdf
1073231,CPD 0050714.pdf,7,ARREST Report,/Green v. CPD FOIA Files/Green 12.30.19 Production/Green 2019.12.30 Production,https://beta.documentcloud.org/documents/20042481-cpd-0050714pdf
1073253,LOG_1073253.pdf,17,ARREST Report,/Green v. CPD FOIA Files/Green 1.31.20 Production,https://beta.documentcloud.org/documents/20034802-log_1073253pdf
1073253,LOG_1073253.pdf,18,ARREST Report,/Green v. CPD FOIA Files/Green 1.31.20 Production,https://beta.documentcloud.org/documents/20034802-log_1073253pdf
1073253,LOG_1073253.pdf,19,ARREST Report,/Green v. CPD FOIA Files/Green 1.31.20 Production,https://beta.documentcloud.org/documents/20034802-log_1073253pdf
1073253,LOG_1073253.pdf,20,ARREST Report,/Green v. CPD FOIA Files/Green 1.31.20 Production,https://beta.documentcloud.org/documents/20034802-log_1073253pdf
1073258,CPD 0050816.pdf,3,ARREST Report,/Green v. CPD FOIA Files/Green 12.30.19 Production/Green 2019.12.30 Production,https://beta.documentcloud.org/documents/20040373-cpd-0050816pdf
1073258,CPD 0050816.pdf,4,ARREST Report,/Green v. CPD FOIA Files/Green 12.30.19 Production/Green 2019.12.30 Production,https://beta.documentcloud.org/documents/20040373-cpd-0050816pdf
1073258,CPD 0050816.pdf,5,ARREST Report,/Green v. CPD FOIA Files/Green 12.30.19 Production/Green 2019.12.30 Production,https://beta.documentcloud.org/documents/20040373-cpd-0050816pdf
1073274,LOG_1073274.pdf,11,ARREST Report,/Green v. CPD FOIA Files/Green 1.31.20 Production,https://beta.documentcloud.org/documents/20035184-log_1073274pdf
1073274,LOG_1073274.pdf,12,ARREST Report,/Green v. CPD FOIA Files/Green 1.31.20 Production,https://beta.documentcloud.org/documents/20035184-log_1073274pdf
1073274,LOG_1073274.pdf,13,ARREST Report,/Green v. CPD FOIA Files/Green 1.31.20 Production,https://beta.documentcloud.org/documents/20035184-log_1073274pdf
1073274,LOG_1073274.pdf,14,ARREST Report,/Green v. CPD FOIA Files/Green 1.31.20 Production,https://beta.documentcloud.org/documents/20035184-log_1073274pdf
1073292,LOG_1073292.pdf,10,ARREST Report,/Green v. CPD FOIA Files/Green 1.31.20 Production,https://beta.documentcloud.org/documents/20050900-log_1073292pdf
1073292,LOG_1073292.pdf,12,ARREST Report,/Green v. CPD FOIA Files/Green 1.31.20 Production,https://beta.documentcloud.org/documents/20050900-log_1073292pdf
1073292,LOG_1073292.pdf,14,ARREST Report,/Green v. CPD FOIA Files/Green 1.31.20 Production,https://beta.documentcloud.org/documents/20050900-log_1073292pdf
1073294,LOG_1073294.pdf,13,ARREST Report,/Green v. CPD FOIA Files/Green 1.31.20 Production,https://beta.documentcloud.org/documents/20033033-log_1073294pdf
1073296,CPD 0050954.pdf,2,ARREST Report,/Green v. CPD FOIA Files/Green 12.30.19 Production/Green 2019.12.30 Production,https://beta.documentcloud.org/documents/20042352-cpd-0050954pdf
1073296,CPD 0050954.pdf,3,ARREST Report,/Green v. CPD FOIA Files/Green 12.30.19 Production/Green 2019.12.30 Production,https://beta.documentcloud.org/documents/20042352-cpd-0050954pdf
1073296,CPD 0050954.pdf,4,ARREST Report,/Green v. CPD FOIA Files/Green 12.30.19 Production/Green 2019.12.30 Production,https://beta.documentcloud.org/documents/20042352-cpd-0050954pdf
1073296,CPD 0050954.pdf,5,ARREST Report,/Green v. CPD FOIA Files/Green 12.30.19 Production/Green 2019.12.30 Production,https://beta.documentcloud.org/documents/20042352-cpd-0050954pdf
1073338,CPD 0051057.pdf,3,ARREST Report,/Green v. CPD FOIA Files/Green 12.30.19 Production/Green 2019.12.30 Production,https://beta.documentcloud.org/documents/20043913-cpd-0051057pdf
1073338,CPD 0051057.pdf,4,ARREST Report,/Green v. CPD FOIA Files/Green 12.30.19 Production/Green 2019.12.30 Production,https://beta.documentcloud.org/documents/20043913-cpd-0051057pdf
1073338,CPD 0051057.pdf,5,ARREST Report,/Green v. CPD FOIA Files/Green 12.30.19 Production/Green 2019.12.30 Production,https://beta.documentcloud.org/documents/20043913-cpd-0051057pdf
