cr_id,filename,page_num,page_classification,dropbox_path,doccloud_url
1062955,LOG_1062955.pdf,10,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20037749-log_1062955pdf
1062955,LOG_1062955.pdf,11,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20037749-log_1062955pdf
1062955,LOG_1062955.pdf,12,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20037749-log_1062955pdf
1063012,LOG_1063012.pdf,7,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20037093-log_1063012pdf
1063012,LOG_1063012.pdf,8,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20037093-log_1063012pdf
1063012,LOG_1063012.pdf,9,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20037093-log_1063012pdf
1063012,LOG_1063012.pdf,10,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20037093-log_1063012pdf
1063012,LOG_1063012.pdf,12,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20037093-log_1063012pdf
1063012,LOG_1063012.pdf,13,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20037093-log_1063012pdf
1063012,LOG_1063012.pdf,14,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20037093-log_1063012pdf
1063012,LOG_1063012.pdf,15,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20037093-log_1063012pdf
1063015,LOG_1063015.pdf,12,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20054692-log_1063015pdf
1063015,LOG_1063015.pdf,13,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20054692-log_1063015pdf
1063015,LOG_1063015.pdf,14,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20054692-log_1063015pdf
1063015,LOG_1063015.pdf,15,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20054692-log_1063015pdf
1063015,LOG_1063015.pdf,16,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20054692-log_1063015pdf
1063015,LOG_1063015.pdf,17,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20054692-log_1063015pdf
1063015,LOG_1063015.pdf,18,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20054692-log_1063015pdf
1063015,LOG_1063015.pdf,19,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20054692-log_1063015pdf
1063015,LOG_1063015.pdf,20,ARREST Report,/Green v. CPD FOIA Files/Green 2020.02.28 Production,https://beta.documentcloud.org/documents/20054692-log_1063015pdf
