"Production::Begin Bates","Production::End Bates","File Name","Log Number","FILE_PATH"
"CPD 0038680","CPD 0038681","LOG_1051862.zip?2012-1.LOG_1051862.006.CR_Attachment_---_DOCID_823587.pdf","LOG_1051862",""
"CPD 0038682","CPD 0038684","LOG_1051870.zip?2012-1.LOG_1051870.001.CR Summary.pdf","LOG_1051870",""
"CPD 0038685","CPD 0038686","LOG_1051870.zip?2012-1.LOG_1051870.002.CR Face Sheet.pdf","LOG_1051870",""
"CPD 0038687","CPD 0038690","LOG_1051870.zip?2012-1.LOG_1051870.019.CR_Attachment_---_DOCID_823637.pdf","LOG_1051870",""
"CPD 0038691","CPD 0038692","LOG_1051870.zip?2012-1.LOG_1051870.020.CR_Attachment_---_DOCID_823638.pdf","LOG_1051870",""
"CPD 0038693","CPD 0038695","LOG_1051870.zip?2012-1.LOG_1051870.021.CR_Attachment_---_DOCID_823665.pdf","LOG_1051870",""
"CPD 0038696","CPD 0038698","LOG_1051874.zip?2012-1.LOG_1051874.001.CR Summary.pdf","LOG_1051874",""
"CPD 0038699","CPD 0038700","LOG_1051874.zip?2012-1.LOG_1051874.002.CR Face Sheet.pdf","LOG_1051874",""
"CPD 0038701","CPD 0038701","LOG_1051874.zip?2012-1.LOG_1051874.004.CR_Attachment_---_DOCID_871079.pdf","LOG_1051874",""
"CPD 0038702","CPD 0038704","LOG_1051875.zip?2012-1.LOG_1051875.001.CR Summary.pdf","LOG_1051875",""
"CPD 0038705","CPD 0038706","LOG_1051875.zip?2012-1.LOG_1051875.002.CR Face Sheet.pdf","LOG_1051875",""
"CPD 0038707","CPD 0038708","LOG_1051875.zip?2012-1.LOG_1051875.004.CR_Attachment_---_DOCID_823922.pdf","LOG_1051875",""
"CPD 0038709","CPD 0038711","LOG_1051879.zip?2012-1.LOG_1051879.001.CR Summary.pdf","LOG_1051879",""
"CPD 0038712","CPD 0038713","LOG_1051879.zip?2012-1.LOG_1051879.002.CR Face Sheet.pdf","LOG_1051879",""
"CPD 0038714","CPD 0038720","LOG_1051879.zip?2012-1.LOG_1051879.004.CR_Attachment_---_DOCID_823928.xml","LOG_1051879",""
"CPD 0038721","CPD 0038723","LOG_1051879.zip?2012-1.LOG_1051879.005.CR_Attachment_---_DOCID_823929.pdf","LOG_1051879",""
"CPD 0038724","CPD 0038726","LOG_1051880.zip?2012-1.LOG_1051880.001.CR Summary.pdf","LOG_1051880",""
"CPD 0038727","CPD 0038728","LOG_1051880.zip?2012-1.LOG_1051880.002.CR Face Sheet.pdf","LOG_1051880",""
"CPD 0038729","CPD 0038731","LOG_1051880.zip?2012-1.LOG_1051880.004.CR_Attachment_---_DOCID_823930.pdf","LOG_1051880",""
"CPD 0038732","CPD 0038734","LOG_1051883.zip?2012-1.LOG_1051883.001.CR Summary.pdf","LOG_1051883",""
"CPD 0038735","CPD 0038736","LOG_1051883.zip?2012-1.LOG_1051883.002.CR Face Sheet.pdf","LOG_1051883",""
"CPD 0038737","CPD 0038741","LOG_1051883.zip?2012-1.LOG_1051883.004.CR_Attachment_---_DOCID_823931.pdf","LOG_1051883",""
"CPD 0038742","CPD 0038744","LOG_1051884.zip?2012-1.LOG_1051884.001.CR Summary.pdf","LOG_1051884",""
"CPD 0038745","CPD 0038746","LOG_1051884.zip?2012-1.LOG_1051884.002.CR Face Sheet.pdf","LOG_1051884",""
"CPD 0038747","CPD 0038749","LOG_1051884.zip?2012-1.LOG_1051884.004.CR_Attachment_---_DOCID_823934.pdf","LOG_1051884",""
"CPD 0038750","CPD 0038752","LOG_1051885.zip?2012-1.LOG_1051885.001.CR Summary.pdf","LOG_1051885",""
"CPD 0038753","CPD 0038754","LOG_1051885.zip?2012-1.LOG_1051885.002.CR Face Sheet.pdf","LOG_1051885",""
"CPD 0038755","CPD 0038756","LOG_1051885.zip?2012-1.LOG_1051885.004.CR_Attachment_---_DOCID_824953.pdf","LOG_1051885",""
"CPD 0038757","CPD 0038757","LOG_1051885.zip?2012-1.LOG_1051885.005.CR_Attachment_---_DOCID_888959.pdf","LOG_1051885",""
"CPD 0038758","CPD 0038760","LOG_1051886.zip?2012-1.LOG_1051886.001.CR Summary.pdf","LOG_1051886",""
"CPD 0038761","CPD 0038761","LOG_1051886.zip?2012-1.LOG_1051886.002.CR Face Sheet.pdf","LOG_1051886",""
"CPD 0038762","CPD 0038764","LOG_1051886.zip?2012-1.LOG_1051886.009.CR_Attachment_---_DOCID_823662.pdf","LOG_1051886",""
"CPD 0038765","CPD 0038765","LOG_1051886.zip?2012-1.LOG_1051886.010.CR_Attachment_---_DOCID_823663.pdf","LOG_1051886",""
"CPD 0038766","CPD 0038767","LOG_1051886.zip?2012-1.LOG_1051886.011.CR_Attachment_---_DOCID_823664.pdf","LOG_1051886",""
"CPD 0038768","CPD 0038770","LOG_1051888.zip?2012-1.LOG_1051888.001.CR Summary.pdf","LOG_1051888",""
"CPD 0038771","CPD 0038772","LOG_1051888.zip?2012-1.LOG_1051888.002.CR Face Sheet.pdf","LOG_1051888",""
"CPD 0038773","CPD 0038773","LOG_1051888.zip?2012-1.LOG_1051888.004.CR_Attachment_---_DOCID_824059.pdf","LOG_1051888",""
"CPD 0038774","CPD 0038776","LOG_1051897.zip?2012-1.LOG_1051897.001.CR Summary.pdf","LOG_1051897",""
"CPD 0038777","CPD 0038777","LOG_1051897.zip?2012-1.LOG_1051897.002.CR Face Sheet.pdf","LOG_1051897",""
"CPD 0038778","CPD 0038780","LOG_1051897.zip?2012-1.LOG_1051897.004.CR_Attachment_---_DOCID_824037.pdf","LOG_1051897",""
"CPD 0038781","CPD 0038783","LOG_1051899.zip?2012-1.LOG_1051899.001.CR Summary.pdf","LOG_1051899",""
"CPD 0038784","CPD 0038785","LOG_1051899.zip?2012-1.LOG_1051899.002.CR Face Sheet.pdf","LOG_1051899",""
"CPD 0038786","CPD 0038787","LOG_1051899.zip?2012-1.LOG_1051899.004.CR_Attachment_---_DOCID_824039.pdf","LOG_1051899",""
"CPD 0038788","CPD 0038790","LOG_1051901.zip?2012-1.LOG_1051901.001.CR Summary.pdf","LOG_1051901",""
"CPD 0038791","CPD 0038792","LOG_1051901.zip?2012-1.LOG_1051901.002.CR Face Sheet.pdf","LOG_1051901",""
"CPD 0038793","CPD 0038793","LOG_1051901.zip?2012-1.LOG_1051901.004.CR_Attachment_---_DOCID_823829.pdf","LOG_1051901",""
"CPD 0038794","CPD 0038795","LOG_1051901.zip?2012-1.LOG_1051901.005.CR_Attachment_---_DOCID_823830.pdf","LOG_1051901",""
"CPD 0038796","CPD 0038797","LOG_1051901.zip?2012-1.LOG_1051901.006.CR_Attachment_---_DOCID_826871.pdf","LOG_1051901",""
"CPD 0038798","CPD 0038800","LOG_1051904.zip?2012-1.LOG_1051904.001.CR Summary.pdf","LOG_1051904",""
"CPD 0038801","CPD 0038802","LOG_1051904.zip?2012-1.LOG_1051904.002.CR Face Sheet.pdf","LOG_1051904",""
"CPD 0038803","CPD 0038805","LOG_1051904.zip?2012-1.LOG_1051904.004.CR_Attachment_---_DOCID_824040.pdf","LOG_1051904",""
"CPD 0038806","CPD 0038808","LOG_1051905.zip?2012-1.LOG_1051905.001.CR Summary.pdf","LOG_1051905",""
"CPD 0038809","CPD 0038810","LOG_1051905.zip?2012-1.LOG_1051905.002.CR Face Sheet.pdf","LOG_1051905",""
"CPD 0038811","CPD 0038811","LOG_1051905.zip?2012-1.LOG_1051905.004.CR_Attachment_---_DOCID_823878.pdf","LOG_1051905",""
"CPD 0038812","CPD 0038814","LOG_1051906.zip?2012-1.LOG_1051906.001.CR Summary.pdf","LOG_1051906",""
"CPD 0038815","CPD 0038815","LOG_1051906.zip?2012-1.LOG_1051906.002.CR Face Sheet.pdf","LOG_1051906",""
"CPD 0038816","CPD 0038816","LOG_1051906.zip?2012-1.LOG_1051906.004.CR_Attachment_---_DOCID_823877.pdf","LOG_1051906",""
"CPD 0038817","CPD 0038819","LOG_1051907.zip?2012-1.LOG_1051907.001.CR Summary.pdf","LOG_1051907",""
