"Production::Begin Bates","Production::End Bates","Log Number"
"CPD 0021582","CPD 0021588","LOG_1049917"
"CPD 0021589","CPD 0021590","LOG_1049917"
"CPD 0021591","CPD 0021592","LOG_1049917"
"CPD 0021593","CPD 0021593","LOG_1049917"
"CPD 0021594","CPD 0021594","LOG_1049917"
"CPD 0021595","CPD 0021597","LOG_1049917"
"CPD 0021598","CPD 0021600","LOG_1049917"
"CPD 0021601","CPD 0021601","LOG_1049917"
"CPD 0021602","CPD 0021602","LOG_1049917"
"CPD 0021603","CPD 0021610","LOG_1049917"
"CPD 0021611","CPD 0021618","LOG_1049917"
"CPD 0021619","CPD 0021620","LOG_1049917"
"CPD 0021621","CPD 0021628","LOG_1049917"
"CPD 0021629","CPD 0021631","LOG_1049917"
"CPD 0021632","CPD 0021634","LOG_1049918"
"CPD 0021635","CPD 0021635","LOG_1049918"
"CPD 0021636","CPD 0021636","LOG_1049918"
"CPD 0021637","CPD 0021639","LOG_1049919"
"CPD 0021640","CPD 0021640","LOG_1049919"
"CPD 0021641","CPD 0021642","LOG_1049919"
"CPD 0021643","CPD 0021644","LOG_1049919"
"CPD 0021645","CPD 0021649","LOG_1049919"
"CPD 0021650","CPD 0021675","LOG_1049919"
"CPD 0021676","CPD 0021678","LOG_1049920"
"CPD 0021679","CPD 0021680","LOG_1049920"
"CPD 0021681","CPD 0021681","LOG_1049920"
"CPD 0021682","CPD 0021682","LOG_1049920"
"CPD 0021683","CPD 0021684","LOG_1049920"
"CPD 0021685","CPD 0021686","LOG_1049920"
"CPD 0021687","CPD 0021687","LOG_1049920"
"CPD 0021688","CPD 0021688","LOG_1049920"
"CPD 0021689","CPD 0021692","LOG_1049920"
"CPD 0021693","CPD 0021695","LOG_1049921"
"CPD 0021696","CPD 0021697","LOG_1049921"
"CPD 0021698","CPD 0021700","LOG_1049923"
"CPD 0021701","CPD 0021702","LOG_1049923"
"CPD 0021703","CPD 0021705","LOG_1049925"
"CPD 0021706","CPD 0021706","LOG_1049925"
"CPD 0021707","CPD 0021708","LOG_1049926"
"CPD 0021709","CPD 0021709","LOG_1049926"
"CPD 0021710","CPD 0021714","LOG_1049927"
"CPD 0021715","CPD 0021716","LOG_1049927"
"CPD 0021717","CPD 0021717","LOG_1049927"
"CPD 0021718","CPD 0021718","LOG_1049927"
"CPD 0021719","CPD 0021720","LOG_1049927"
"CPD 0021721","CPD 0021721","LOG_1049927"
"CPD 0021722","CPD 0021722","LOG_1049927"
"CPD 0021723","CPD 0021723","LOG_1049927"
"CPD 0021724","CPD 0021726","LOG_1049927"
"CPD 0021727","CPD 0021729","LOG_1049927"
"CPD 0021730","CPD 0021732","LOG_1049927"
"CPD 0021733","CPD 0021733","LOG_1049927"
"CPD 0021734","CPD 0021737","LOG_1049927"
"CPD 0021738","CPD 0021739","LOG_1049927"
"CPD 0021740","CPD 0021745","LOG_1049927"
"CPD 0021746","CPD 0021751","LOG_1049927"
"CPD 0021752","CPD 0021754","LOG_1049928"
"CPD 0021755","CPD 0021756","LOG_1049928"
"CPD 0021757","CPD 0021757","LOG_1049928"
"CPD 0021758","CPD 0021760","LOG_1049928"
"CPD 0021761","CPD 0021761","LOG_1049928"
"CPD 0021762","CPD 0021762","LOG_1049928"
"CPD 0021763","CPD 0021792","LOG_1049928"
"CPD 0021793","CPD 0021793","LOG_1049928"
"CPD 0021794","CPD 0021798","LOG_1049928"
"CPD 0021799","CPD 0021802","LOG_1049928"
"CPD 0021803","CPD 0021804","LOG_1049928"
"CPD 0021805","CPD 0021808","LOG_1049928"
"CPD 0021809","CPD 0021811","LOG_1049929"
"CPD 0021812","CPD 0021813","LOG_1049929"
"CPD 0021814","CPD 0021816","LOG_1049930"
"CPD 0021817","CPD 0021818","LOG_1049930"
"CPD 0021819","CPD 0021819","LOG_1049930"
"CPD 0021820","CPD 0021821","LOG_1049930"
"CPD 0021822","CPD 0021825","LOG_1049931"
"CPD 0021826","CPD 0021827","LOG_1049931"
"CPD 0021828","CPD 0021828","LOG_1049931"
"CPD 0021829","CPD 0021831","LOG_1049931"
"CPD 0021832","CPD 0021834","LOG_1049931"
"CPD 0021835","CPD 0021835","LOG_1049931"
"CPD 0021836","CPD 0021844","LOG_1049931"
"CPD 0021845","CPD 0021846","LOG_1049931"
"CPD 0021847","CPD 0021848","LOG_1049931"
"CPD 0021849","CPD 0021852","LOG_1049931"
"CPD 0021853","CPD 0021855","LOG_1049932"
"CPD 0021856","CPD 0021857","LOG_1049932"
"CPD 0021858","CPD 0021860","LOG_1049933"
"CPD 0021861","CPD 0021862","LOG_1049933"
"CPD 0021863","CPD 0021866","LOG_1049934"
"CPD 0021867","CPD 0021868","LOG_1049934"
"CPD 0021869","CPD 0021869","LOG_1049934"
"CPD 0021870","CPD 0021870","LOG_1049934"
"CPD 0021871","CPD 0021872","LOG_1049934"
"CPD 0021873","CPD 0021873","LOG_1049934"
"CPD 0021874","CPD 0021874","LOG_1049934"
"CPD 0021875","CPD 0021875","LOG_1049934"
"CPD 0021876","CPD 0021879","LOG_1049934"
"CPD 0021880","CPD 0021883","LOG_1049934"
"CPD 0021884","CPD 0021886","LOG_1049935"
"CPD 0021887","CPD 0021888","LOG_1049935"
"CPD 0021889","CPD 0021891","LOG_1049936"
"CPD 0021892","CPD 0021893","LOG_1049936"
"CPD 0021894","CPD 0021895","LOG_1049936"
"CPD 0021896","CPD 0021898","LOG_1049937"
"CPD 0021899","CPD 0021900","LOG_1049937"
"CPD 0021901","CPD 0021903","LOG_1049937"
"CPD 0021904","CPD 0021906","LOG_1049939"
"CPD 0021907","CPD 0021908","LOG_1049939"
"CPD 0021909","CPD 0021911","LOG_1049940"
"CPD 0021912","CPD 0021912","LOG_1049940"
"CPD 0021913","CPD 0021915","LOG_1049941"
"CPD 0021916","CPD 0021917","LOG_1049941"
"CPD 0021918","CPD 0021919","LOG_1049941"
"CPD 0021920","CPD 0021921","LOG_1049942"
"CPD 0021922","CPD 0021922","LOG_1049942"
"CPD 0021923","CPD 0021926","LOG_1049944"
"CPD 0021927","CPD 0021928","LOG_1049944"
"CPD 0021929","CPD 0021929","LOG_1049944"
"CPD 0021930","CPD 0021932","LOG_1049944"
"CPD 0021933","CPD 0021933","LOG_1049944"
"CPD 0021934","CPD 0021938","LOG_1049944"
"CPD 0021939","CPD 0021939","LOG_1049944"
"CPD 0021940","CPD 0021940","LOG_1049944"
"CPD 0021941","CPD 0021941","LOG_1049944"
"CPD 0021942","CPD 0021944","LOG_1049945"
"CPD 0021945","CPD 0021946","LOG_1049945"
"CPD 0021947","CPD 0021949","LOG_1049946"
"CPD 0021950","CPD 0021951","LOG_1049946"
"CPD 0021952","CPD 0021952","LOG_1049946"
"CPD 0021953","CPD 0021957","LOG_1049946"
"CPD 0021958","CPD 0021959","LOG_1049946"
"CPD 0021960","CPD 0021960","LOG_1049946"
"CPD 0021961","CPD 0021961","LOG_1049946"
"CPD 0021962","CPD 0021962","LOG_1049946"
"CPD 0021963","CPD 0021964","LOG_1049946"
"CPD 0021965","CPD 0021965","LOG_1049946"
"CPD 0021966","CPD 0021972","LOG_1049946"
"CPD 0021973","CPD 0021973","LOG_1049946"
"CPD 0021974","CPD 0021974","LOG_1049946"
"CPD 0021975","CPD 0021975","LOG_1049946"
"CPD 0021976","CPD 0021978","LOG_1049947"
"CPD 0021979","CPD 0021980","LOG_1049947"
"CPD 0021981","CPD 0021983","LOG_1049948"
"CPD 0021984","CPD 0021984","LOG_1049948"
"CPD 0021985","CPD 0021986","LOG_1049948"
"CPD 0021987","CPD 0021987","LOG_1049948"
"CPD 0021988","CPD 0021990","LOG_1049948"
"CPD 0021991","CPD 0021993","LOG_1049949"
"CPD 0021994","CPD 0021994","LOG_1049949"
"CPD 0021995","CPD 0021996","LOG_1049950"
"CPD 0021997","CPD 0021997","LOG_1049950"
"CPD 0021998","CPD 0022000","LOG_1049952"
"CPD 0022001","CPD 0022002","LOG_1049952"
"CPD 0022003","CPD 0022005","LOG_1049953"
"CPD 0022006","CPD 0022006","LOG_1049953"
"CPD 0022007","CPD 0022008","LOG_1049953"
"CPD 0022009","CPD 0022009","LOG_1049953"
"CPD 0022010","CPD 0022012","LOG_1049953"
"CPD 0022013","CPD 0022014","LOG_1049953"
"CPD 0022015","CPD 0022018","LOG_1049956"
"CPD 0022019","CPD 0022021","LOG_1049957"
"CPD 0022022","CPD 0022023","LOG_1049957"
"CPD 0022024","CPD 0022026","LOG_1049961"
"CPD 0022027","CPD 0022028","LOG_1049961"
"CPD 0022029","CPD 0022029","LOG_1049962"
"CPD 0022030","CPD 0022030","LOG_1049962"
"CPD 0022031","CPD 0022031","LOG_1049962"
"CPD 0022032","CPD 0022032","LOG_1049962"
"CPD 0022033","CPD 0022033","LOG_1049962"
"CPD 0022034","CPD 0022036","LOG_1049963"
"CPD 0022037","CPD 0022045","LOG_1049963"
"CPD 0022046","CPD 0022048","LOG_1049965"
"CPD 0022049","CPD 0022049","LOG_1049965"
"CPD 0022050","CPD 0022051","LOG_1049965"
"CPD 0022052","CPD 0022056","LOG_1049965"
"CPD 0022057","CPD 0022058","LOG_1049965"
"CPD 0022059","CPD 0022061","LOG_1049965"
"CPD 0022062","CPD 0022063","LOG_1049966"
"CPD 0022064","CPD 0022064","LOG_1049966"
"CPD 0022065","CPD 0022067","LOG_1049967"
"CPD 0022068","CPD 0022069","LOG_1049967"
"CPD 0022070","CPD 0022079","LOG_1049967"
"CPD 0022080","CPD 0022080","LOG_1049967"
"CPD 0022081","CPD 0022082","LOG_1049967"
"CPD 0022083","CPD 0022085","LOG_1049968"
"CPD 0022086","CPD 0022087","LOG_1049968"
"CPD 0022088","CPD 0022089","LOG_1049968"
"CPD 0022090","CPD 0022090","LOG_1049968"
"CPD 0022091","CPD 0022095","LOG_1049968"
"CPD 0022096","CPD 0022098","LOG_1049970"
"CPD 0022099","CPD 0022099","LOG_1049970"
"CPD 0022100","CPD 0022104","LOG_1049970"
"CPD 0022105","CPD 0022106","LOG_1049970"
"CPD 0022107","CPD 0022109","LOG_1049970"
"CPD 0022110","CPD 0022110","LOG_1049970"
"CPD 0022111","CPD 0022114","LOG_1049971"
"CPD 0022115","CPD 0022116","LOG_1049971"
"CPD 0022117","CPD 0022118","LOG_1049971"
"CPD 0022119","CPD 0022119","LOG_1049971"
"CPD 0022120","CPD 0022121","LOG_1049971"
"CPD 0022122","CPD 0022123","LOG_1049971"
"CPD 0022124","CPD 0022124","LOG_1049971"
"CPD 0022125","CPD 0022125","LOG_1049971"
"CPD 0022126","CPD 0022126","LOG_1049971"
"CPD 0022127","CPD 0022127","LOG_1049971"
"CPD 0022128","CPD 0022128","LOG_1049971"
"CPD 0022129","CPD 0022129","LOG_1049971"
"CPD 0022130","CPD 0022130","LOG_1049971"
"CPD 0022131","CPD 0022132","LOG_1049971"
"CPD 0022133","CPD 0022133","LOG_1049971"
"CPD 0022134","CPD 0022136","LOG_1049972"
"CPD 0022137","CPD 0022137","LOG_1049972"
"CPD 0022138","CPD 0022140","LOG_1049973"
"CPD 0022141","CPD 0022142","LOG_1049973"
"CPD 0022143","CPD 0022143","LOG_1049973"
"CPD 0022144","CPD 0022144","LOG_1049973"
"CPD 0022145","CPD 0022145","LOG_1049973"
"CPD 0022146","CPD 0022148","LOG_1049974"
"CPD 0022149","CPD 0022150","LOG_1049974"
"CPD 0022151","CPD 0022153","LOG_1049977"
"CPD 0022154","CPD 0022155","LOG_1049977"
"CPD 0022156","CPD 0022158","LOG_1049977"
"CPD 0022159","CPD 0022161","LOG_1049978"
"CPD 0022162","CPD 0022163","LOG_1049978"
"CPD 0022164","CPD 0022165","LOG_1049978"
"CPD 0022166","CPD 0022168","LOG_1049979"
"CPD 0022169","CPD 0022170","LOG_1049979"
"CPD 0022171","CPD 0022175","LOG_1049980"
"CPD 0022176","CPD 0022177","LOG_1049980"
"CPD 0022178","CPD 0022178","LOG_1049980"
"CPD 0022179","CPD 0022180","LOG_1049980"
"CPD 0022181","CPD 0022182","LOG_1049980"
"CPD 0022183","CPD 0022183","LOG_1049980"
"CPD 0022184","CPD 0022184","LOG_1049980"
"CPD 0022185","CPD 0022186","LOG_1049980"
"CPD 0022187","CPD 0022187","LOG_1049980"
"CPD 0022188","CPD 0022188","LOG_1049980"
"CPD 0022189","CPD 0022189","LOG_1049980"
"CPD 0022190","CPD 0022190","LOG_1049980"
"CPD 0022191","CPD 0022193","LOG_1049980"
"CPD 0022194","CPD 0022194","LOG_1049980"
"CPD 0022195","CPD 0022195","LOG_1049980"
"CPD 0022196","CPD 0022196","LOG_1049980"
"CPD 0022197","CPD 0022197","LOG_1049980"
"CPD 0022198","CPD 0022206","LOG_1049980"
"CPD 0022207","CPD 0022207","LOG_1049980"
"CPD 0022208","CPD 0022208","LOG_1049980"
"CPD 0022209","CPD 0022217","LOG_1049980"
"CPD 0022218","CPD 0022220","LOG_1049981"
"CPD 0022221","CPD 0022221","LOG_1049981"
"CPD 0022222","CPD 0022224","LOG_1049982"
"CPD 0022225","CPD 0022226","LOG_1049982"
"CPD 0022227","CPD 0022228","LOG_1049982"
"CPD 0022229","CPD 0022233","LOG_1049982"
"CPD 0022234","CPD 0022234","LOG_1049982"
"CPD 0022235","CPD 0022236","LOG_1049982"
"CPD 0022237","CPD 0022237","LOG_1049982"
"CPD 0022238","CPD 0022239","LOG_1049982"
"CPD 0022240","CPD 0022258","LOG_1049982"
"CPD 0022259","CPD 0022259","LOG_1049982"
"CPD 0022260","CPD 0022260","LOG_1049982"
"CPD 0022261","CPD 0022261","LOG_1049982"
"CPD 0022262","CPD 0022263","LOG_1049982"
"CPD 0022264","CPD 0022266","LOG_1049983"
"CPD 0022267","CPD 0022268","LOG_1049983"
"CPD 0022269","CPD 0022271","LOG_1049984"
"CPD 0022272","CPD 0022272","LOG_1049984"
"CPD 0022273","CPD 0022279","LOG_1049984"
"CPD 0022280","CPD 0022281","LOG_1049984"
"CPD 0022282","CPD 0022283","LOG_1049984"
"CPD 0022284","CPD 0022297","LOG_1049984"
"CPD 0022298","CPD 0022300","LOG_1049987"
"CPD 0022301","CPD 0022302","LOG_1049987"
"CPD 0022303","CPD 0022305","LOG_1049987"
"CPD 0022306","CPD 0022308","LOG_1049988"
"CPD 0022309","CPD 0022310","LOG_1049988"
"CPD 0022311","CPD 0022313","LOG_1049989"
"CPD 0022314","CPD 0022315","LOG_1049989"
"CPD 0022316","CPD 0022318","LOG_1049992"
"CPD 0022319","CPD 0022320","LOG_1049992"
"CPD 0022321","CPD 0022323","LOG_1049994"
"CPD 0022324","CPD 0022325","LOG_1049994"
"CPD 0022326","CPD 0022328","LOG_1049995"
"CPD 0022329","CPD 0022330","LOG_1049995"
"CPD 0022331","CPD 0022333","LOG_1049996"
"CPD 0022334","CPD 0022335","LOG_1049996"
"CPD 0022336","CPD 0022336","LOG_1049996"
"CPD 0022337","CPD 0022339","LOG_1049999"
"CPD 0022340","CPD 0022341","LOG_1049999"
"CPD 0022342","CPD 0022342","LOG_1049999"
"CPD 0022343","CPD 0022348","LOG_1050000"
"CPD 0022349","CPD 0022350","LOG_1050000"
"CPD 0022351","CPD 0022351","LOG_1050000"
"CPD 0022352","CPD 0022360","LOG_1050000"
"CPD 0022361","CPD 0022361","LOG_1050000"
"CPD 0022362","CPD 0022362","LOG_1050001"
"CPD 0022363","CPD 0022363","LOG_1050001"
"CPD 0022364","CPD 0022366","LOG_1050001"
"CPD 0022367","CPD 0022367","LOG_1050001"
"CPD 0022368","CPD 0022368","LOG_1050001"
"CPD 0022369","CPD 0022369","LOG_1050001"
"CPD 0022370","CPD 0022370","LOG_1050001"
"CPD 0022371","CPD 0022371","LOG_1050001"
"CPD 0022372","CPD 0022372","LOG_1050001"
"CPD 0022373","CPD 0022374","LOG_1050001"
"CPD 0022375","CPD 0022378","LOG_1050001"
"CPD 0022379","CPD 0022381","LOG_1050002"
"CPD 0022382","CPD 0022383","LOG_1050002"
"CPD 0022384","CPD 0022385","LOG_1050002"
"CPD 0022386","CPD 0022388","LOG_1050003"
"CPD 0022389","CPD 0022389","LOG_1050003"
"CPD 0022390","CPD 0022392","LOG_1050004"
"CPD 0022393","CPD 0022394","LOG_1050004"
"CPD 0022395","CPD 0022397","LOG_1050005"
"CPD 0022398","CPD 0022398","LOG_1050005"
"CPD 0022399","CPD 0022401","LOG_1050012"
"CPD 0022402","CPD 0022403","LOG_1050012"
"CPD 0022404","CPD 0022413","LOG_1050012"
"CPD 0022414","CPD 0022416","LOG_1050017"
"CPD 0022417","CPD 0022418","LOG_1050017"
"CPD 0022419","CPD 0022423","LOG_1050017"
"CPD 0022424","CPD 0022426","LOG_1050018"
"CPD 0022427","CPD 0022428","LOG_1050018"
"CPD 0022429","CPD 0022431","LOG_1050019"
"CPD 0022432","CPD 0022433","LOG_1050019"
"CPD 0022434","CPD 0022436","LOG_1050023"
"CPD 0022437","CPD 0022438","LOG_1050023"
"CPD 0022439","CPD 0022443","LOG_1050023"
"CPD 0022444","CPD 0022446","LOG_1050024"
"CPD 0022447","CPD 0022447","LOG_1050024"
"CPD 0022448","CPD 0022448","LOG_1050024"
"CPD 0022449","CPD 0022451","LOG_1050026"
"CPD 0022452","CPD 0022453","LOG_1050026"
"CPD 0022454","CPD 0022456","LOG_1050027"
"CPD 0022457","CPD 0022457","LOG_1050027"
"CPD 0022458","CPD 0022460","LOG_1050028"
"CPD 0022461","CPD 0022461","LOG_1050028"
"CPD 0022462","CPD 0022464","LOG_1050029"
"CPD 0022465","CPD 0022466","LOG_1050029"
"CPD 0022467","CPD 0022471","LOG_1050029"
"CPD 0022472","CPD 0022474","LOG_1050030"
"CPD 0022475","CPD 0022476","LOG_1050030"
"CPD 0022477","CPD 0022479","LOG_1050032"
"CPD 0022480","CPD 0022481","LOG_1050032"
"CPD 0022482","CPD 0022482","LOG_1050032"
"CPD 0022483","CPD 0022485","LOG_1050033"
"CPD 0022486","CPD 0022487","LOG_1050033"
"CPD 0022488","CPD 0022490","LOG_1050034"
"CPD 0022491","CPD 0022492","LOG_1050034"
"CPD 0022493","CPD 0022495","LOG_1050037"
"CPD 0022496","CPD 0022497","LOG_1050037"
"CPD 0022498","CPD 0022502","LOG_1050037"
"CPD 0022503","CPD 0022505","LOG_1050039"
"CPD 0022506","CPD 0022507","LOG_1050039"
"CPD 0022508","CPD 0022508","LOG_1050039"
"CPD 0022509","CPD 0022511","LOG_1050041"
"CPD 0022512","CPD 0022513","LOG_1050041"
"CPD 0022514","CPD 0022516","LOG_1050043"
"CPD 0022517","CPD 0022518","LOG_1050043"
"CPD 0022519","CPD 0022521","LOG_1050044"
"CPD 0022522","CPD 0022523","LOG_1050044"
"CPD 0022524","CPD 0022528","LOG_1050044"
"CPD 0022529","CPD 0022531","LOG_1050047"
"CPD 0022532","CPD 0022533","LOG_1050047"
"CPD 0022534","CPD 0022536","LOG_1050049"
"CPD 0022537","CPD 0022537","LOG_1050049"
"CPD 0022538","CPD 0022540","LOG_1050051"
"CPD 0022541","CPD 0022542","LOG_1050051"
"CPD 0022543","CPD 0022545","LOG_1050054"
"CPD 0022546","CPD 0022547","LOG_1050054"
"CPD 0022548","CPD 0022549","LOG_1050054"
"CPD 0022550","CPD 0022550","LOG_1050054"
"CPD 0022551","CPD 0022551","LOG_1050054"
"CPD 0022552","CPD 0022552","LOG_1050054"
"CPD 0022553","CPD 0022554","LOG_1050054"
"CPD 0022555","CPD 0022555","LOG_1050054"
"CPD 0022556","CPD 0022557","LOG_1050054"
"CPD 0022558","CPD 0022560","LOG_1050057"
"CPD 0022561","CPD 0022562","LOG_1050057"
"CPD 0022563","CPD 0022565","LOG_1050059"
"CPD 0022566","CPD 0022567","LOG_1050059"
"CPD 0022568","CPD 0022570","LOG_1050060"
"CPD 0022571","CPD 0022572","LOG_1050060"
"CPD 0022573","CPD 0022575","LOG_1050062"
"CPD 0022576","CPD 0022577","LOG_1050062"
"CPD 0022578","CPD 0022580","LOG_1050063"
"CPD 0022581","CPD 0022582","LOG_1050063"
"CPD 0022583","CPD 0022585","LOG_1050067"
"CPD 0022586","CPD 0022587","LOG_1050067"
"CPD 0022588","CPD 0022589","LOG_1050068"
"CPD 0022590","CPD 0022590","LOG_1050068"
"CPD 0022591","CPD 0022593","LOG_1050070"
"CPD 0022594","CPD 0022595","LOG_1050070"
"CPD 0022596","CPD 0022598","LOG_1050071"
"CPD 0022599","CPD 0022600","LOG_1050071"
"CPD 0022601","CPD 0022603","LOG_1050072"
"CPD 0022604","CPD 0022605","LOG_1050072"
"CPD 0022606","CPD 0022608","LOG_1050073"
"CPD 0022609","CPD 0022609","LOG_1050073"
"CPD 0022610","CPD 0022612","LOG_1050075"
"CPD 0022613","CPD 0022614","LOG_1050075"
"CPD 0022615","CPD 0022615","LOG_1050075"
"CPD 0022616","CPD 0022630","LOG_1050075"
"CPD 0022631","CPD 0022635","LOG_1050075"
"CPD 0022636","CPD 0022643","LOG_1050075"
"CPD 0022644","CPD 0022645","LOG_1050075"
"CPD 0022646","CPD 0022650","LOG_1050075"
"CPD 0022651","CPD 0022654","LOG_1050075"
"CPD 0022655","CPD 0022657","LOG_1050084"
"CPD 0022658","CPD 0022659","LOG_1050084"
"CPD 0022660","CPD 0022662","LOG_1050087"
"CPD 0022663","CPD 0022664","LOG_1050087"
"CPD 0022665","CPD 0022667","LOG_1050090"
"CPD 0022668","CPD 0022669","LOG_1050090"
"CPD 0022670","CPD 0022672","LOG_1050102"
"CPD 0022673","CPD 0022674","LOG_1050102"
"CPD 0022675","CPD 0022678","LOG_1050104"
"CPD 0022679","CPD 0022681","LOG_1050104"
"CPD 0022682","CPD 0022683","LOG_1050108"
"CPD 0022684","CPD 0022684","LOG_1050108"
"CPD 0022685","CPD 0022687","LOG_1050110"
"CPD 0022688","CPD 0022689","LOG_1050110"
"CPD 0022690","CPD 0022692","LOG_1050112"
"CPD 0022693","CPD 0022694","LOG_1050112"
"CPD 0022695","CPD 0022697","LOG_1050113"
"CPD 0022698","CPD 0022699","LOG_1050113"
"CPD 0022700","CPD 0022702","LOG_1050119"
"CPD 0022703","CPD 0022704","LOG_1050119"
"CPD 0022705","CPD 0022707","LOG_1050120"
"CPD 0022708","CPD 0022709","LOG_1050120"
"CPD 0022710","CPD 0022712","LOG_1050121"
"CPD 0022713","CPD 0022714","LOG_1050121"
"CPD 0022715","CPD 0022717","LOG_1050122"
"CPD 0022718","CPD 0022719","LOG_1050122"
"CPD 0022720","CPD 0022722","LOG_1050123"
"CPD 0022723","CPD 0022724","LOG_1050123"
"CPD 0022725","CPD 0022727","LOG_1050130"
"CPD 0022728","CPD 0022728","LOG_1050130"
"CPD 0022729","CPD 0022731","LOG_1050134"
"CPD 0022732","CPD 0022733","LOG_1050134"
"CPD 0022734","CPD 0022736","LOG_1050135"
"CPD 0022737","CPD 0022738","LOG_1050135"
"CPD 0022739","CPD 0022741","LOG_1050136"
"CPD 0022742","CPD 0022743","LOG_1050136"
"CPD 0022744","CPD 0022746","LOG_1050137"
"CPD 0022747","CPD 0022748","LOG_1050137"
"CPD 0022749","CPD 0022751","LOG_1050138"
"CPD 0022752","CPD 0022753","LOG_1050138"
"CPD 0022754","CPD 0022756","LOG_1050145"
"CPD 0022757","CPD 0022758","LOG_1050145"
"CPD 0022759","CPD 0022761","LOG_1050147"
"CPD 0022762","CPD 0022763","LOG_1050147"
"CPD 0022764","CPD 0022766","LOG_1050150"
"CPD 0022767","CPD 0022768","LOG_1050150"
"CPD 0022769","CPD 0022771","LOG_1050151"
"CPD 0022772","CPD 0022773","LOG_1050151"
"CPD 0022774","CPD 0022776","LOG_1050157"
"CPD 0022777","CPD 0022777","LOG_1050157"
"CPD 0022778","CPD 0022780","LOG_1050161"
"CPD 0022781","CPD 0022782","LOG_1050161"
"CPD 0022783","CPD 0022785","LOG_1050163"
"CPD 0022786","CPD 0022787","LOG_1050163"
"CPD 0022788","CPD 0022790","LOG_1050166"
"CPD 0022791","CPD 0022792","LOG_1050166"
"CPD 0022793","CPD 0022795","LOG_1050171"
"CPD 0022796","CPD 0022797","LOG_1050171"
"CPD 0022798","CPD 0022800","LOG_1050172"
"CPD 0022801","CPD 0022802","LOG_1050172"
"CPD 0022803","CPD 0022805","LOG_1050177"
"CPD 0022806","CPD 0022807","LOG_1050177"
"CPD 0022808","CPD 0022810","LOG_1050179"
"CPD 0022811","CPD 0022812","LOG_1050179"
"CPD 0022813","CPD 0022815","LOG_1050180"
"CPD 0022816","CPD 0022817","LOG_1050180"
"CPD 0022818","CPD 0022820","LOG_1050181"
"CPD 0022821","CPD 0022821","LOG_1050181"
"CPD 0022822","CPD 0022823","LOG_1050190"
"CPD 0022824","CPD 0022824","LOG_1050190"
"CPD 0022825","CPD 0022827","LOG_1050207"
"CPD 0022828","CPD 0022829","LOG_1050207"
"CPD 0022830","CPD 0022832","LOG_1050209"
"CPD 0022833","CPD 0022834","LOG_1050209"
"CPD 0022835","CPD 0022836","LOG_1050213"
"CPD 0022837","CPD 0022837","LOG_1050213"
"CPD 0022838","CPD 0022840","LOG_1050219"
"CPD 0022841","CPD 0022842","LOG_1050219"
"CPD 0022843","CPD 0022845","LOG_1050220"
"CPD 0022846","CPD 0022846","LOG_1050220"
"CPD 0022847","CPD 0022849","LOG_1050221"
"CPD 0022850","CPD 0022851","LOG_1050221"
"CPD 0022852","CPD 0022854","LOG_1050223"
"CPD 0022855","CPD 0022856","LOG_1050223"
"CPD 0022857","CPD 0022859","LOG_1050226"
"CPD 0022860","CPD 0022861","LOG_1050226"
"CPD 0022862","CPD 0022864","LOG_1050227"
"CPD 0022865","CPD 0022866","LOG_1050227"
"CPD 0022867","CPD 0022869","LOG_1050229"
"CPD 0022870","CPD 0022871","LOG_1050229"
"CPD 0022872","CPD 0022874","LOG_1050230"
"CPD 0022875","CPD 0022876","LOG_1050230"
"CPD 0022877","CPD 0022879","LOG_1050232"
"CPD 0022880","CPD 0022880","LOG_1050232"
"CPD 0022881","CPD 0022883","LOG_1050241"
"CPD 0022884","CPD 0022885","LOG_1050241"
"CPD 0022886","CPD 0022888","LOG_1050252"
"CPD 0022889","CPD 0022889","LOG_1050252"
"CPD 0022890","CPD 0022892","LOG_1050256"
"CPD 0022893","CPD 0022894","LOG_1050256"
"CPD 0022895","CPD 0022897","LOG_1050257"
"CPD 0022898","CPD 0022899","LOG_1050257"
"CPD 0022900","CPD 0022902","LOG_1050258"
"CPD 0022903","CPD 0022904","LOG_1050258"
"CPD 0022905","CPD 0022907","LOG_1050259"
"CPD 0022908","CPD 0022909","LOG_1050259"
"CPD 0022910","CPD 0022912","LOG_1050260"
"CPD 0022913","CPD 0022914","LOG_1050260"
"CPD 0022915","CPD 0022917","LOG_1050263"
"CPD 0022918","CPD 0022919","LOG_1050263"
"CPD 0022920","CPD 0022922","LOG_1050269"
"CPD 0022923","CPD 0022923","LOG_1050269"
"CPD 0022924","CPD 0022926","LOG_1050273"
"CPD 0022927","CPD 0022928","LOG_1050273"
"CPD 0022929","CPD 0022931","LOG_1050274"
"CPD 0022932","CPD 0022933","LOG_1050274"
"CPD 0022934","CPD 0022936","LOG_1050275"
"CPD 0022937","CPD 0022938","LOG_1050275"
"CPD 0022939","CPD 0022941","LOG_1050276"
"CPD 0022942","CPD 0022943","LOG_1050276"
"CPD 0022944","CPD 0022946","LOG_1050277"
"CPD 0022947","CPD 0022948","LOG_1050277"
"CPD 0022949","CPD 0022951","LOG_1050278"
"CPD 0022952","CPD 0022953","LOG_1050278"
"CPD 0022954","CPD 0022956","LOG_1050279"
"CPD 0022957","CPD 0022958","LOG_1050279"
"CPD 0022959","CPD 0022961","LOG_1050280"
"CPD 0022962","CPD 0022963","LOG_1050280"
"CPD 0022964","CPD 0022966","LOG_1050282"
