"Production::Begin Bates","Production::End Bates","Log Number"
"CPD 0017736","CPD 0017736","LOG_1049086"
"CPD 0017737","CPD 0017737","LOG_1049086"
"CPD 0017738","CPD 0017738","LOG_1049086"
"CPD 0017739","CPD 0017739","LOG_1049086"
"CPD 0017740","CPD 0017742","LOG_1049086"
"CPD 0017743","CPD 0017743","LOG_1049086"
"CPD 0017744","CPD 0017747","LOG_1049086"
"CPD 0017748","CPD 0017749","LOG_1049086"
"CPD 0017750","CPD 0017752","LOG_1049086"
"CPD 0017753","CPD 0017758","LOG_1049086"
"CPD 0017759","CPD 0017762","LOG_1049087"
"CPD 0017763","CPD 0017764","LOG_1049087"
"CPD 0017765","CPD 0017765","LOG_1049087"
"CPD 0017766","CPD 0017766","LOG_1049087"
"CPD 0017767","CPD 0017770","LOG_1049087"
"CPD 0017771","CPD 0017771","LOG_1049087"
"CPD 0017772","CPD 0017772","LOG_1049087"
"CPD 0017773","CPD 0017775","LOG_1049088"
"CPD 0017776","CPD 0017777","LOG_1049089"
"CPD 0017778","CPD 0017780","LOG_1049089"
"CPD 0017781","CPD 0017783","LOG_1049090"
"CPD 0017784","CPD 0017786","LOG_1049091"
"CPD 0017787","CPD 0017788","LOG_1049091"
"CPD 0017789","CPD 0017791","LOG_1049092"
"CPD 0017792","CPD 0017793","LOG_1049092"
"CPD 0017794","CPD 0017796","LOG_1049093"
"CPD 0017797","CPD 0017798","LOG_1049093"
"CPD 0017799","CPD 0017801","LOG_1049094"
"CPD 0017802","CPD 0017804","LOG_1049094"
"CPD 0017805","CPD 0017809","LOG_1049094"
"CPD 0017810","CPD 0017811","LOG_1049095"
"CPD 0017812","CPD 0017812","LOG_1049095"
"CPD 0017813","CPD 0017814","LOG_1049096"
"CPD 0017815","CPD 0017819","LOG_1049096"
"CPD 0017820","CPD 0017821","LOG_1049096"
"CPD 0017822","CPD 0017824","LOG_1049096"
"CPD 0017825","CPD 0017825","LOG_1049096"
"CPD 0017826","CPD 0017827","LOG_1049096"
"CPD 0017828","CPD 0017828","LOG_1049096"
"CPD 0017829","CPD 0017830","LOG_1049096"
"CPD 0017831","CPD 0017831","LOG_1049096"
"CPD 0017832","CPD 0017832","LOG_1049096"
"CPD 0017833","CPD 0017835","LOG_1049096"
"CPD 0017836","CPD 0017836","LOG_1049096"
"CPD 0017837","CPD 0017837","LOG_1049096"
"CPD 0017838","CPD 0017839","LOG_1049096"
"CPD 0017840","CPD 0017845","LOG_1049096"
"CPD 0017846","CPD 0017848","LOG_1049096"
"CPD 0017849","CPD 0017851","LOG_1049097"
"CPD 0017852","CPD 0017853","LOG_1049097"
